trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.9, 'e': 0.3212010745647914}",30,12,-38.401132793114094,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
114,False,"{'a': 0.9, 'e': 0.3179890638191435}",30,16,-18.223251253407458,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.9, 'e': 0.31480917318095203}",25,13,-70.68096404236681,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
116,False,"{'a': 0.9, 'e': 0.3116610814491425}",20,0,1.0006108193983372,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
117,False,"{'a': 0.9, 'e': 0.30854447063465107}",25,12,23.4547665085425,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.9, 'e': 0.30545902592830454}",20,9,15.783106777410811,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.9, 'e': 0.3024044356690215}",20,15,2.023535684308006,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.9, 'e': 0.29938039131233124}",20,3,-30.212735664306933,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
121,False,"{'a': 0.9, 'e': 0.2963865873992079}",20,16,7.6074283417595545,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.9, 'e': 0.29342272152521587}",20,3,-52.915708327195134,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
123,False,"{'a': 0.9, 'e': 0.2904884943099637}",30,18,16.364897669902852,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.9, 'e': 0.28758360936686406}",20,6,-3.900938635293336,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.9, 'e': 0.2847077732731954}",20,13,15.297671077664837,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.9, 'e': 0.28186069554046345}",25,17,13.750396678950167,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.9, 'e': 0.2790420885850588}",20,7,-31.929148693426306,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.9, 'e': 0.2762516676992082}",20,0,-64.0825755735203,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
129,False,"{'a': 0.9, 'e': 0.27348915102221616}",20,16,9.035517791180101,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.9, 'e': 0.270754259511994}",25,10,19.703384157177297,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.9, 'e': 0.26804671691687404}",30,12,-48.540639129912314,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
132,False,"{'a': 0.9, 'e': 0.2653662497477053}",20,13,-28.55212607820445,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.9, 'e': 0.2627125872502282}",25,13,8.106332702985155,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.9, 'e': 0.2600854613777259}",20,8,7.925055316477797,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.9, 'e': 0.2574846067639487}",20,3,21.814950880696752,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.9, 'e': 0.2549097606963092}",20,8,-0.33772997058038,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.9, 'e': 0.2523606630893461}",25,18,-0.7388438297634805,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.9, 'e': 0.24983705645845267}",35,3,2.256352363289311,"{0: 27, 1: 2, 2: 3, 3: 0, 4: 0}",1
139,False,"{'a': 0.9, 'e': 0.24733868589386815}",25,12,-20.408905785147994,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
140,False,"{'a': 0.9, 'e': 0.24486529903492946}",30,18,16.241220848894237,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.9, 'e': 0.24241664604458016}",25,3,24.94013800514623,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.9, 'e': 0.23999247958413436}",20,6,20.71278563397359,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
